jogo,sigla1,sigla2,selecao1,selecao2,nome_base1,nome_base2,grupo,data,odd_home_dec,odd_draw_dec,odd_away_dec,prob_home,prob_draw,prob_away
1,MEX,RSA,México,África do Sul,Mexico,South Africa,A,2026-06-11,1.50,4.40,8.50,0.667,0.227,0.118
2,KOR,CZE,Coreia do Sul,Tchéquia,South Korea,Czech Republic,A,2026-06-11,2.75,3.25,2.75,0.364,0.308,0.364
3,CAN,BIH,Canadá,Bósnia e Herzegovina,Canada,Bosnia and Herzegovina,B,2026-06-12,1.85,3.70,4.60,0.541,0.270,0.217
4,USA,PAR,Estados Unidos,Paraguai,United States,Paraguay,D,2026-06-12,2.05,3.40,4.00,0.488,0.294,0.250
5,HAI,SCO,Haiti,Escócia,Haiti,Scotland,C,2026-06-13,8.00,4.75,1.48,0.125,0.211,0.677
6,AUS,TUR,Austrália,Turquia,Australia,Turkey,D,2026-06-13,4.80,3.70,1.83,0.208,0.270,0.545
7,BRA,MAR,Brasil,Marrocos,Brazil,Morocco,C,2026-06-13,1.62,4.00,6.00,0.619,0.250,0.167
8,QAT,SUI,Catar,Suíça,Qatar,Switzerland,B,2026-06-13,13.50,6.25,1.29,0.074,0.160,0.778
9,CIV,ECU,Costa do Marfim,Equador,Ivory Coast,Ecuador,E,2026-06-14,3.80,3.10,2.30,0.263,0.323,0.435
10,GER,CUW,Alemanha,Curaçao,Germany,Curaçao,E,2026-06-14,1.05,21.00,76.00,0.952,0.048,0.013
11,NED,JPN,Países Baixos,Japão,Netherlands,Japan,F,2026-06-14,2.04,3.75,3.80,0.490,0.267,0.263
12,SWE,TUN,Suécia,Tunísia,Sweden,Tunisia,F,2026-06-14,2.00,3.40,4.20,0.500,0.294,0.238
13,KSA,URU,Arábia Saudita,Uruguai,Saudi Arabia,Uruguay,H,2026-06-15,7.00,4.50,1.53,0.143,0.222,0.652
14,ESP,CPV,Espanha,Cabo Verde,Spain,Cape Verde,H,2026-06-15,1.10,11.50,30.00,0.909,0.087,0.033
15,IRN,NZL,Irã,Nova Zelândia,Iran,New Zealand,G,2026-06-15,1.90,3.50,4.40,0.526,0.286,0.227
16,BEL,EGY,Bélgica,Egito,Belgium,Egypt,G,2026-06-15,1.70,4.00,5.25,0.588,0.250,0.190
17,FRA,SEN,França,Senegal,France,Senegal,I,2026-06-16,1.45,4.60,7.50,0.688,0.217,0.133
18,IRQ,NOR,Iraque,Noruega,Iraq,Norway,I,2026-06-16,15.00,6.50,1.25,0.067,0.154,0.800
19,ARG,ALG,Argentina,Argélia,Argentina,Algeria,J,2026-06-16,1.42,4.80,8.90,0.704,0.208,0.112
20,AUT,JOR,Áustria,Jordânia,Austria,Jordan,J,2026-06-16,1.35,5.50,9.50,0.741,0.182,0.105
21,GHA,PAN,Gana,Panamá,Ghana,Panama,L,2026-06-17,2.05,3.75,3.80,0.488,0.267,0.263
22,ENG,CRO,Inglaterra,Croácia,England,Croatia,L,2026-06-17,1.75,3.75,5.10,0.571,0.267,0.196
23,POR,COD,Portugal,RD Congo,Portugal,DR Congo,K,2026-06-17,1.29,6.25,12.00,0.778,0.160,0.083
24,UZB,COL,Uzbequistão,Colômbia,Uzbekistan,Colombia,K,2026-06-17,8.50,4.60,1.44,0.118,0.217,0.692
